Incident,Recur,N
1,5,12
2,4,12
0,4,12
3,2,12
1,4,12
0,5,12
1,5,12
2,3,12
3,3,12
2,3,12
2,4,12
2,5,12
2,2,12
2,3,12
1,3,12
2,8,12
0,2,12
2,1,12
3,7,12
0,4,12
1,5,12
2,2,12
0,1,12
2,3,12
1,6,12
0,6,12
0,2,12
1,7,12
2,4,12
1,3,12
0,4,12
2,7,12
2,6,12
1,5,12
1,2,12
1,4,12
0,6,12
0,4,12
1,7,12
0,5,12
2,5,12
0,7,12
2,6,12
0,1,12
1,1,12
1,5,12
1,4,12
0,3,12
1,4,12
0,4,12
1,4,12
0,4,12
1,2,12
1,2,12
3,2,12
1,1,12
0,5,12
0,7,12
0,3,12
0,6,12
1,0,12
1,9,12
1,3,12
4,4,12
0,3,12
1,3,12
0,6,12
0,5,12
1,1,12
0,6,12
1,5,12
0,6,12
0,6,12
1,3,12
0,0,12
1,7,12
1,4,12
3,3,12
1,6,12
0,6,12
0,5,12
1,3,12
2,2,12
1,5,12
3,2,12
2,0,12
0,4,12
1,5,12
5,8,12
2,2,12
0,6,12
0,5,12
1,3,12
1,3,12
1,4,12
1,8,12
1,4,12
2,6,12
1,7,12
1,6,12
0,3,12
3,3,12
1,8,12
0,5,12
3,6,12
1,3,12
0,4,12
0,3,12
1,2,12
1,7,12
1,5,12
0,3,12
0,7,12
1,4,12
2,3,12
0,7,12
2,6,12
1,4,12
0,2,12
2,5,12
1,4,12
1,3,12
1,3,12
0,3,12
1,6,12
2,3,12
2,1,12
3,4,12
0,3,12
0,3,12
0,3,12
1,3,12
0,4,12
0,5,12
1,5,12
2,7,12
1,3,12
0,8,12
0,2,12
1,3,12
0,4,12
1,7,12
0,4,12
0,7,12
0,3,12
1,5,12
0,2,12
0,3,12
2,7,12
0,6,12
1,3,12
0,3,12
0,4,12
3,4,12
3,2,12
0,10,12
1,4,12
0,3,12
0,4,12
1,5,12
1,4,12
1,3,12
1,5,12
0,3,12
2,7,12
1,5,12
0,5,12
1,1,12
0,3,12
0,4,12
0,2,12
0,5,12
2,5,12
1,8,12
0,2,12
0,9,12
1,1,12
1,4,12
1,6,12
0,7,12
1,6,12
1,6,12
0,5,12
1,3,12
1,4,12
1,8,12
2,3,12
0,3,12
1,8,12
0,1,12
1,3,12
0,7,12
0,5,12
1,3,12
2,2,12
1,3,12
0,5,12
1,5,12
1,4,12
1,3,12
1,5,12
3,4,12
0,1,12
0,2,12
2,6,12
1,8,12
0,2,12
1,5,12
0,2,12
1,4,12
1,3,12
2,5,12
1,4,12
0,1,12
2,3,12
1,7,12
0,2,12
1,7,12
1,3,12
1,4,12
0,3,12
0,7,12
1,5,12
2,7,12
0,2,12
0,2,12
0,7,12
1,3,12
2,4,12
0,3,12
0,10,12
0,2,12
1,1,12
0,2,12
0,6,12
1,5,12
3,3,12
0,0,12
2,6,12
1,6,12
1,10,12
1,6,12
2,4,12
0,10,12
2,2,12
1,6,12
1,1,12
1,6,12
0,2,12
0,4,12
1,2,12
0,5,12
2,3,12
0,4,12
1,4,12
2,5,12
2,6,12
1,5,12
0,5,12
2,5,12
3,5,12
0,5,12
1,4,12
2,5,12
0,2,12
3,5,12
1,4,12
0,3,12
0,2,12
0,1,12
0,7,12
2,5,12
1,5,12
1,5,12
1,7,12
1,1,12
0,2,12
1,8,12
0,3,12
1,5,12
1,6,12
0,3,12
0,6,12
2,7,12
0,5,12
2,7,12
2,7,12
0,2,12
0,5,12
1,3,12
2,8,12
1,2,12
0,2,12
1,5,12
1,4,12
0,1,12
0,3,12
0,8,12
2,4,12
0,3,12
1,3,12
1,2,12
0,7,12
1,4,12
0,3,12
1,5,12
0,4,12
2,2,12
0,5,12
1,4,12
0,5,12
1,4,12
1,2,12
0,3,12
0,2,12
2,5,12
2,6,12
0,5,12
0,2,12
0,4,12
1,4,12
0,2,12
2,3,12
1,8,12
1,2,12
0,2,12
2,4,12
0,4,12
3,4,12
1,5,12
1,2,12
0,5,12
1,7,12
1,1,12
0,1,12
1,6,12
4,3,12
1,4,12
0,0,12
1,4,12
1,2,12
1,3,12
2,6,12
0,2,12
1,3,12
3,5,12
0,7,12
2,4,12
0,4,12
0,7,12
1,4,12
1,4,12
1,5,12
2,2,12
1,0,12
0,2,12
0,2,12
2,8,12
2,5,12
0,5,12
1,5,12
0,7,12
0,2,12
2,5,12
2,6,12
0,9,12
0,3,12
1,5,12
0,4,12
1,3,12
0,6,12
3,7,12
0,4,12
3,5,12
0,8,12
0,5,12
1,2,12
1,6,12
1,7,12
0,3,12
2,5,12
2,6,12
0,6,12
0,3,12
1,6,12
0,5,12
0,6,12
0,5,12
1,5,12
2,3,12
3,3,12
1,5,12
0,5,12
0,5,12
1,6,12
0,1,12
2,5,12
2,5,12
0,3,12
2,6,12
0,5,12
0,2,12
0,0,12
0,6,12
0,2,12
0,8,12
1,4,12
0,4,12
3,2,12
2,4,12
0,2,12
1,6,12
2,7,12
0,2,12
1,8,12
0,4,12
1,6,12
0,2,12
1,4,12
2,3,12
1,5,12
0,5,12
1,4,12
0,4,12
1,1,12
0,5,12
1,2,12
0,3,12
0,4,12
1,4,12
1,4,12
1,6,12
0,3,12
1,6,12
3,1,12
1,4,12
2,3,12
2,1,12
0,3,12
1,5,12
0,3,12
2,4,12
2,3,12
0,3,12
0,7,12
1,7,12
0,4,12
0,3,12
1,6,12
0,4,12
0,3,12
0,6,12
1,5,12
1,3,12
0,6,12
0,4,12
1,4,12
1,6,12
1,5,12
1,4,12
0,2,12
2,5,12
3,1,12
1,7,12
0,2,12
0,4,12
2,2,12
0,6,12
0,1,12
0,4,12
0,5,12
0,5,12
2,4,12
1,7,12
0,4,12
0,5,12
1,3,12
1,6,12
2,4,12
0,4,12
2,6,12
0,2,12
0,2,12
3,6,12
1,4,12
2,8,12
2,8,12
0,4,12
0,4,12
0,3,12
0,8,12
1,5,12
3,1,12
1,5,12
0,4,12
0,2,12
1,8,12
0,2,12
1,7,12
0,2,12
0,3,12
1,1,12
1,5,12
2,3,12
1,2,12
0,6,12
1,3,12
1,4,12
1,3,12
2,7,12
0,6,12
0,2,12
1,3,12
1,5,12
1,2,12
0,6,12
2,5,12
1,4,12
0,2,12
1,2,12
1,3,12
2,8,12
0,2,12
2,6,12
2,6,12
2,2,12
1,6,12
1,4,12
0,4,12
1,6,12
2,3,12
0,8,12
1,5,12
0,3,12
0,3,12
1,3,12
0,6,12
1,5,12
0,6,12
0,5,12
2,4,12
2,3,12
1,2,12
2,3,12
2,2,12
0,4,12
0,4,12
2,6,12
0,4,12
0,6,12
0,6,12
1,3,12
0,1,12
0,3,12
2,4,12
0,4,12
2,2,12
2,7,12
2,4,12
2,4,12
1,3,12
1,4,12
0,1,12
0,4,12
0,0,12
0,3,12
1,6,12
1,5,12
0,5,12
1,4,12
3,3,12
1,4,12
1,6,12
0,7,12
0,2,12
0,5,12
0,7,12
1,5,12
1,1,12
2,2,12
0,9,12
0,8,12
1,5,12
1,7,12
0,2,12
0,8,12
2,6,12
0,5,12
0,4,12
1,7,12
0,4,12
1,6,12
3,2,12
1,3,12
0,1,12
0,6,12
0,6,12
0,5,12
0,8,12
1,1,12
2,4,12
0,2,12
1,11,12
0,7,12
2,4,12
1,3,12
0,3,12
0,8,12
2,4,12
1,3,12
1,6,12
0,9,12
0,8,12
2,3,12
1,3,12
0,2,12
0,3,12
2,5,12
2,5,12
2,7,12
0,3,12
2,5,12
2,7,12
0,2,12
1,5,12
0,6,12
1,4,12
1,3,12
2,2,12
0,4,12
0,3,12
1,2,12
1,4,12
0,6,12
1,3,12
1,4,12
1,6,12
0,6,12
0,5,12
1,7,12
0,5,12
2,7,12
1,6,12
0,6,12
0,2,12
0,3,12
1,7,12
0,6,12
0,4,12
0,2,12
0,5,12
0,2,12
0,9,12
1,6,12
0,2,12
0,1,12
0,2,12
1,2,12
0,3,12
0,4,12
0,4,12
0,5,12
1,5,12
0,4,12
1,6,12
3,9,12
1,4,12
0,2,12
1,4,12
3,5,12
3,4,12
1,2,12
0,3,12
1,3,12
0,4,12
0,4,12
2,4,12
0,6,12
2,5,12
2,4,12
1,5,12
0,3,12
0,4,12
0,3,12
1,5,12
0,3,12
0,4,12
1,7,12
2,3,12
2,8,12
1,6,12
0,3,12
1,3,12
3,4,12
0,4,12
0,1,12
3,2,12
1,4,12
2,3,12
0,5,12
2,1,12
1,6,12
0,2,12
0,4,12
2,3,12
0,4,12
1,3,12
0,7,12
0,8,12
0,4,12
1,7,12
2,7,12
2,7,12
1,3,12
0,5,12
2,8,12
1,6,12
1,4,12
1,5,12
1,6,12
0,6,12
2,10,12
0,5,12
1,3,12
0,2,12
2,1,12
0,5,12
1,6,12
2,5,12
1,4,12
0,8,12
1,4,12
0,7,12
1,9,12
0,2,12
2,6,12
0,5,12
0,1,12
0,4,12
0,2,12
2,7,12
3,3,12
2,4,12
4,6,12
1,4,12
1,0,12
2,1,12
1,3,12
1,5,12
0,3,12
0,4,12
1,2,12
0,3,12
0,4,12
3,4,12
0,3,12
0,6,12
0,7,12
0,4,12
0,5,12
3,6,12
0,2,12
1,3,12
0,6,12
1,1,12
0,3,12
1,1,12
1,2,12
0,2,12
1,5,12
2,4,12
0,5,12
2,3,12
0,6,12
0,2,12
2,1,12
0,4,12
0,5,12
0,4,12
0,3,12
1,4,12
1,4,12
2,3,12
2,4,12
0,5,12
0,5,12
0,3,12
1,5,12
1,3,12
2,3,12
1,5,12
1,9,12
0,8,12
3,5,12
1,5,12
1,3,12
0,3,12
2,7,12
0,4,12
0,4,12
1,1,12
1,5,12
0,2,12
2,10,12
0,9,12
2,8,12
1,6,12
1,5,12
0,2,12
0,4,12
0,4,12
2,3,12
0,8,12
2,2,12
1,3,12
0,6,12
0,7,12
0,4,12
1,1,12
0,6,12
0,1,12
0,4,12
0,5,12
1,4,12
1,5,12
1,2,12
2,4,12
0,5,12
1,2,12
1,3,12
0,3,12
1,6,12
0,5,12
1,5,12
0,3,12
2,2,12
3,6,12
1,5,12
0,3,12
0,7,12
0,4,12
0,4,12
1,7,12
2,7,12
0,2,12
1,1,12
2,4,12
0,2,12
1,5,12
2,5,12
2,1,12
1,2,12
1,3,12
1,6,12
0,5,12
1,2,12
1,10,12
2,1,12
1,10,12
1,4,12
1,4,12
1,5,12
3,4,12
1,2,12
0,3,12
1,7,12
3,2,12
1,6,12
1,2,12
3,6,12
0,6,12
2,5,12
0,2,12
0,5,12
1,3,12
0,9,12
0,4,12
1,5,12
0,3,12
1,4,12
1,5,12
0,4,12
1,6,12
1,2,12
1,2,12
1,5,12
2,2,12
2,6,12
2,6,12
0,4,12
1,3,12
2,1,12
0,2,12
0,3,12
0,2,12
1,2,12
1,4,12
1,3,12
1,8,12
0,2,12
2,9,12
0,4,12
1,4,12
2,4,12
0,4,12
2,3,12
1,2,12
0,5,12
1,9,12
1,3,12
2,3,12
0,4,12
0,2,12
3,2,12
0,4,12
1,4,12
0,4,12
0,6,12
2,5,12
0,4,12
2,2,12
1,6,12
1,5,12
0,4,12
1,4,12
3,4,12
0,2,12
1,6,12
1,2,12
2,2,12
0,2,12
2,3,12
0,4,12
1,3,12
0,5,12
2,1,12
1,8,12
1,3,12
3,2,12
2,4,12
1,3,12
0,5,12
1,4,12
3,4,12
1,2,12
2,5,12
0,2,12
0,6,12
0,7,12
1,8,12
2,5,12
0,5,12
2,5,12
1,3,12
0,8,12
0,7,12
2,4,12
0,4,12
1,3,12
0,6,12
1,9,12
1,5,12
5,7,12
0,7,12
1,5,12
0,6,12
0,4,12
0,6,12
2,4,12
1,3,12
0,2,12
0,3,12
1,1,12
1,3,12
1,3,12
0,5,12
0,1,12
0,4,12
3,4,12
0,2,12
3,2,12
1,5,12
1,4,12
1,3,12
2,2,12
3,5,12
1,1,12
3,10,12
2,5,12
3,3,12
2,6,12
1,6,12
0,4,12
1,5,12
1,4,12
0,2,12
0,3,12
1,5,12
0,3,12
0,4,12
1,5,12
0,4,12
0,5,12
1,3,12
1,4,12
1,5,12
1,5,12
1,7,12
1,1,12
2,7,12
2,7,12
1,3,12
0,6,12
1,6,12
0,8,12
1,2,12
1,1,12
0,2,12
0,1,12
2,8,12
0,8,12
2,5,12
0,7,12
0,5,12
0,3,12
2,5,12
0,7,12
1,7,12
1,4,12
0,4,12
1,7,12
2,3,12
1,10,12
1,4,12
0,6,12
1,6,12
0,2,12
3,3,12
0,5,12
2,5,12
0,6,12
0,5,12
1,2,12
0,6,12
1,4,12
0,3,12
1,3,12
0,7,12
1,4,12
1,3,12
0,5,12
1,6,12
2,6,12
1,4,12
1,3,12
2,3,12
0,2,12
1,4,12
1,5,12
0,4,12
1,5,12
2,6,12
0,2,12
2,2,12
0,3,12
0,5,12
1,6,12
0,2,12
2,6,12
0,4,12
1,4,12
0,6,12
1,7,12
1,9,12
1,3,12
0,3,12
0,1,12
0,7,12
1,1,12
1,5,12
2,5,12
0,4,12
0,5,12
1,0,12
2,7,12
0,3,12
0,3,12
3,7,12
1,4,12
0,3,12
1,4,12
1,6,12
0,4,12
3,11,12
0,9,12
3,2,12
2,6,12
1,3,12
0,6,12
1,3,12
0,5,12
2,5,12
0,5,12
1,5,12
0,2,12
2,4,12
3,9,12
0,5,12
1,4,12
1,10,12
0,2,12
2,2,12
1,4,12
2,6,12
1,6,12
0,3,12
1,5,12
2,3,12
1,5,12
1,3,12
1,4,12
3,4,12
2,1,12
0,7,12
0,7,12
1,1,12
0,5,12
0,5,12
2,6,12
1,1,12
0,3,12
2,5,12
0,7,12
0,5,12
0,3,12
0,5,12
2,3,12
1,9,12
0,7,12
1,6,12
0,2,12
1,4,12
0,5,12
5,1,12
0,3,12
1,3,12
2,6,12
2,5,12
1,6,12
1,2,12
1,0,12
1,1,12
2,8,12
1,2,12
1,6,12
0,4,12
3,8,12
0,7,12
1,2,12
0,5,12
0,4,12
1,5,12
0,5,12
0,5,12
3,4,12
1,5,12
1,4,12
0,3,12
0,3,12
1,6,12
0,3,12
0,3,12
1,5,12
0,2,12
1,4,12
1,4,12
1,5,12
0,2,12
1,1,12
0,4,12
0,6,12
1,4,12
1,5,12
1,6,12
0,4,12
0,4,12
1,4,12
0,6,12
1,4,12
2,3,12
0,4,12
3,6,12
1,6,12
0,3,12
0,2,12
1,1,12
1,5,12
0,3,12
0,3,12
3,3,12
0,2,12
2,6,12
1,6,12
0,4,12
2,6,12
0,2,12
0,6,12
0,10,12
3,6,12
0,2,12
0,8,12
1,2,12
1,2,12
0,2,12
1,2,12
1,4,12
1,1,12
1,8,12
0,1,12
1,5,12
1,1,12
1,4,12
2,8,12
0,4,12
0,6,12
1,9,12
0,4,12
1,6,12
1,5,12
0,5,12
2,5,12
2,3,12
1,2,12
1,6,12
2,7,12
1,5,12
0,3,12
0,1,12
0,2,12
0,2,12
0,1,12
0,6,12
2,8,12
2,5,12
0,3,12
1,4,12
3,6,12
2,6,12
0,1,12
0,6,12
1,7,12
1,7,12
0,3,12
0,3,12
1,4,12
1,7,12
1,3,12
0,6,12
1,0,12
1,4,12
2,6,12
0,6,12
1,3,12
0,3,12
0,5,12
1,4,12
4,3,12
2,3,12
0,4,12
0,3,12
0,7,12
0,4,12
2,6,12
1,5,12
0,7,12
2,8,12
1,4,12
1,0,12
1,7,12
1,5,12
0,6,12
1,6,12
0,6,12
1,3,12
2,3,12
2,8,12
1,4,12
2,8,12
1,5,12
0,1,12
0,2,12
0,6,12
2,2,12
1,6,12
2,6,12
1,5,12
1,5,12
2,3,12
1,5,12
1,6,12
1,3,12
1,4,12
1,5,12
0,2,12
1,5,12
0,3,12
0,1,12
1,6,12
2,4,12
0,5,12
2,5,12
0,4,12
2,8,12
1,6,12
1,5,12
3,4,12
0,3,12
1,1,12
0,5,12
1,3,12
0,5,12
0,1,12
1,9,12
1,3,12
0,6,12
0,6,12
1,6,12
1,4,12
0,2,12
1,9,12
0,5,12
2,3,12
1,3,12
1,2,12
1,3,12
1,8,12
1,4,12
3,9,12
2,6,12
0,1,12
1,4,12
1,3,12
0,8,12
0,5,12
0,3,12
0,3,12
0,2,12
2,4,12
0,7,12
3,6,12
5,3,12
0,5,12
1,0,12
1,5,12
0,1,12
1,5,12
2,1,12
0,1,12
2,3,12
1,2,12
0,2,12
1,1,12
2,4,12
0,2,12
1,7,12
1,3,12
1,8,12
3,5,12
3,9,12
1,3,12
0,4,12
2,6,12
2,2,12
0,5,12
1,6,12
1,3,12
2,5,12
0,3,12
3,1,12
1,6,12
0,4,12
1,5,12
0,0,12
0,2,12
0,3,12
0,4,12
2,3,12
0,6,12
1,2,12
0,4,12
1,5,12
1,9,12
0,7,12
0,3,12
1,6,12
0,5,12
1,8,12
1,3,12
1,3,12
0,2,12
0,1,12
3,3,12
1,5,12
0,0,12
0,4,12
0,2,12
0,3,12
1,3,12
1,5,12
1,2,12
1,5,12
0,5,12
2,1,12
0,6,12
1,4,12
0,7,12
3,8,12
2,5,12
1,1,12
0,3,12
1,3,12
1,3,12
2,4,12
1,1,12
0,6,12
3,4,12
0,4,12
1,4,12
0,1,12
1,1,12
1,8,12
1,5,12
4,5,12
0,7,12
0,5,12
1,3,12
1,4,12
2,3,12
0,4,12
1,1,12
1,6,12
2,3,12
0,5,12
1,2,12
0,3,12
3,6,12
1,5,12
0,4,12
0,4,12
0,0,12
1,6,12
1,4,12
2,7,12
1,4,12
2,7,12
0,0,12
1,2,12
0,4,12
1,6,12
0,4,12
0,2,12
3,8,12
3,8,12
0,3,12
1,6,12
1,4,12
1,2,12
1,4,12
2,4,12
1,4,12
2,4,12
0,3,12
1,8,12
1,4,12
0,9,12
0,6,12
0,5,12
2,3,12
2,6,12
1,4,12
1,8,12
0,4,12
0,3,12
2,3,12
1,0,12
0,4,12
0,2,12
1,2,12
0,6,12
0,3,12
0,5,12
2,6,12
0,5,12
1,5,12
0,2,12
2,3,12
0,0,12
2,2,12
0,5,12
2,1,12
1,4,12
1,2,12
0,4,12
0,3,12
0,2,12
0,6,12
1,3,12
1,4,12
1,2,12
1,2,12
1,4,12
0,2,12
1,2,12
2,4,12
0,2,12
0,5,12
0,3,12
2,4,12
1,3,12
1,2,12
1,4,12
0,4,12
1,5,12
3,7,12
1,3,12
1,6,12
0,3,12
1,6,12
0,6,12
1,4,12
2,5,12
0,6,12
0,3,12
2,3,12
1,2,12
1,1,12
3,3,12
1,3,12
1,6,12
1,4,12
1,4,12
0,5,12
1,5,12
0,8,12
0,3,12
0,4,12
1,7,12
1,8,12
0,8,12
1,2,12
0,3,12
3,4,12
1,6,12
0,4,12
1,3,12
1,7,12
1,3,12
4,6,12
1,4,12
2,4,12
1,3,12
3,6,12
0,3,12
2,3,12
1,6,12
1,7,12
0,5,12
1,5,12
0,8,12
0,7,12
0,4,12
0,5,12
0,2,12
1,7,12
0,1,12
2,5,12
1,7,12
0,5,12
1,5,12
1,4,12
0,4,12
0,4,12
0,2,12
0,1,12
0,1,12
1,6,12
0,6,12
2,3,12
1,4,12
1,5,12
0,4,12
0,4,12
1,6,12
1,5,12
0,4,12
2,4,12
0,6,12
1,2,12
1,8,12
2,7,12
0,8,12
1,5,12
1,1,12
0,5,12
0,3,12
0,7,12
1,7,12
0,4,12
2,1,12
1,4,12
1,9,12
1,4,12
0,3,12
0,5,12
1,3,12
0,6,12
1,3,12
0,4,12
0,3,12
0,5,12
1,3,12
1,2,12
1,4,12
2,2,12
2,4,12
0,2,12
3,3,12
1,3,12
0,4,12
0,5,12
0,3,12
0,4,12
0,5,12
0,3,12
0,2,12
0,5,12
0,2,12
0,3,12
0,3,12
0,3,12
1,5,12
0,4,12
0,6,12
2,2,12
0,5,12
0,1,12
1,3,12
1,1,12
0,2,12
4,3,12
0,5,12
1,3,12
0,3,12
1,6,12
3,9,12
3,5,12
0,2,12
3,5,12
1,3,12
0,2,12
3,3,12
0,6,12
1,6,12
0,2,12
2,5,12
1,5,12
1,6,12
0,2,12
0,6,12
0,7,12
1,5,12
0,1,12
2,3,12
1,3,12
1,4,12
1,8,12
1,8,12
2,5,12
1,5,12
0,1,12
1,2,12
1,6,12
0,7,12
0,5,12
0,5,12
0,2,12
1,0,12
0,2,12
0,0,12
0,6,12
1,2,12
0,4,12
0,8,12
1,3,12
2,7,12
1,6,12
0,3,12
1,7,12
1,7,12
2,9,12
0,6,12
0,4,12
0,3,12
0,2,12
2,3,12
0,2,12
3,1,12
1,1,12
1,3,12
1,7,12
1,4,12
1,7,12
0,6,12
1,7,12
0,6,12
1,2,12
0,4,12
0,6,12
0,6,12
1,4,12
1,2,12
0,4,12
2,9,12
1,3,12
0,2,12
0,7,12
1,2,12
0,4,12
3,2,12
1,4,12
0,5,12
1,4,12
2,5,12
1,3,12
0,6,12
3,5,12
0,7,12
0,2,12
0,2,12
0,6,12
0,9,12
0,5,12
0,2,12
1,2,12
1,2,12
1,2,12
0,7,12
1,8,12
2,9,12
1,5,12
0,4,12
2,3,12
3,4,12
0,5,12
2,4,12
0,2,12
1,2,12
1,6,12
3,7,12
2,4,12
2,0,12
0,3,12
2,5,12
2,6,12
1,1,12
0,4,12
0,1,12
1,3,12
1,8,12
3,4,12
1,6,12
1,3,12
2,4,12
3,3,12
1,1,12
1,1,12
1,3,12
1,8,12
1,3,12
0,7,12
0,6,12
0,3,12
0,3,12
0,5,12
0,8,12
0,4,12
1,9,12
0,2,12
1,3,12
2,5,12
0,4,12
1,1,12
4,2,12
1,2,12
2,3,12
0,2,12
0,2,12
2,6,12
2,6,12
0,4,12
1,7,12
0,6,12
1,6,12
0,5,12
3,5,12
0,4,12
1,2,12
1,6,12
1,5,12
0,2,12
0,6,12
0,6,12
2,4,12
0,7,12
1,2,12
1,7,12
0,4,12
0,3,12
0,3,12
1,3,12
1,3,12
0,2,12
0,4,12
1,2,12
1,4,12
0,5,12
0,6,12
0,5,12
0,4,12
0,2,12
0,4,12
1,1,12
1,7,12
2,4,12
1,5,12
2,5,12
0,5,12
1,5,12
0,1,12
0,5,12
0,5,12
1,0,12
2,2,12
0,2,12
0,5,12
0,5,12
1,3,12
2,6,12
0,6,12
0,2,12
0,5,12
1,4,12
0,4,12
0,8,12
0,1,12
3,2,12
3,5,12
1,3,12
2,4,12
2,4,12
1,1,12
1,5,12
2,4,12
0,6,12
3,3,12
0,5,12
1,4,12
1,5,12
1,2,12
0,5,12
0,3,12
0,6,12
2,11,12
1,2,12
1,1,12
0,6,12
1,4,12
0,5,12
2,5,12
0,4,12
1,0,12
4,4,12
1,3,12
1,6,12
1,7,12
1,2,12
1,5,12
0,3,12
1,5,12
1,7,12
1,7,12
1,2,12
0,1,12
0,4,12
0,3,12
2,5,12
1,6,12
0,1,12
0,3,12
1,4,12
1,5,12
0,7,12
1,4,12
1,4,12
1,3,12
1,5,12
0,1,12
1,4,12
0,6,12
1,3,12
